id,source,reference,model_type,candidate,semantic_score,fluency_score,cultural_score,style_score,reasoning
Sample 62,There is a tide in the affairs of men... leads on to fortune.,물들어 올때 노저어야 한다.,Base Model,남사탕이 돌아오면 세상도 편해지겠어.,0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 27.108667048s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 27
}
]"
Sample 62,There is a tide in the affairs of men... leads on to fortune.,물들어 올때 노저어야 한다.,Tuned Model,남사스러운 일이 일어나면 결국 운도 따라붙기 마련이지.,0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
Please retry in 25.9283702s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 25
}
]"
Sample 40,"They expected him to crack under pressure, but he stayed cool as a cucumber.",다 긴장했는데 걔 혼자 태평하더라,Base Model,"그들은 그에게 압살할 거라 예상했지만, 그는 스트레스 받을 때 Like a intruder(도둑) 굴러들어오는 줄 몰랐어.",0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 24.822053829s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 24
}
]"
Sample 40,"They expected him to crack under pressure, but he stayed cool as a cucumber.",다 긴장했는데 걔 혼자 태평하더라,Tuned Model,"그는 압력을 받으면 깨질 거라고 예상했지만, 잘 버텨냈다(견뎌냈다).",0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 23.647423212s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 23
}
]"
Sample 95,He's been a couch potato all weekend.,그 남자는 주말 내내 소파에서 움직이질 않아.,Base Model,주말 내내 게임만 하네(완전 게임이네).,0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 22.53476621s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 22
}
]"
Sample 95,He's been a couch potato all weekend.,그 남자는 주말 내내 소파에서 움직이질 않아.,Tuned Model,주말 내내 게임만 하더라(완전 게임이네).,0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 21.417575719s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 21
}
]"
Sample 18,"Given the complexity of the problem, a solution is not expected to fall into our laps; it will require months of dedicated research.","문제의 복잡성을 고려할 때, 해결책이 거저 주어질 것으로 기대되지 않으며, 수개월간의 헌신적인 연구가 필요할 것입니다.",Base Model,"문제's 복잡해서, 우리 손에서 해결책 찾아기 어렵습니다. 수십 개월 간 정밀한 연구가 필요하겠습니다.",0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 20.293957046s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 20
}
]"
Sample 18,"Given the complexity of the problem, a solution is not expected to fall into our laps; it will require months of dedicated research.","문제의 복잡성을 고려할 때, 해결책이 거저 주어질 것으로 기대되지 않으며, 수개월간의 헌신적인 연구가 필요할 것입니다.",Tuned Model,"문제 복잡해서, 우리한테 달란 건 아니고, 몇 개월 차 떼고 포 뗀 연구가 필요할 것 같아.",0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
Please retry in 19.124682282s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 19
}
]"
Sample 97,Totes agree with you.,너 말 100퍼센트 공감.,Base Model,맞말이야(동감해).,0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 18.00222917s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 18
}
]"
Sample 97,Totes agree with you.,너 말 100퍼센트 공감.,Tuned Model,네들이랑 맞팔 해줘서 고마워(내 친구라서 영광이야).,0,0,0,0,"Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/usage?tab=rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash
Please retry in 16.893883121s. [links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerMinutePerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_requests""
  quota_id: ""GenerateRequestsPerDayPerProjectPerModel-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemini-2.0-flash""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
}
, retry_delay {
  seconds: 16
}
]"
